timestamp,label,class,technique_id,ruleset_phase,session_id,rule_id,rule_canonical,rule_level,rule_description,rule_mitre,image,parent_image,command_line,command_line_normalised,target_filename,target_object,details,event_type
2026-08-09T11:10:41.210+0000,1,attack,T1218.011,baseline,20260809-111015-attack-r1,92027,92027,4,Powershell process spawned powershell instance,T1059.001,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""powershell.exe\"" &amp; {rundll32.exe zipfldr.dll,RouteTheCall \\\""\""'%%windir%%\\System32\\calc.exe'\\\""\""}","\""powershell.exe\"" &amp; {rundll32.exe zipfldr.dll,RouteTheCall \\""\""'%%windir%%\System32\calc.exe'\\""\""}",,,,
2026-08-09T11:12:02.669+0000,1,attack,T1218.011,baseline,20260809-111015-attack-r1,60608,60608,4,Summary event of the report's signatures.,,,,,,,,,
2026-08-09T11:12:02.677+0000,1,attack,T1218.011,baseline,20260809-111015-attack-r1,60608,60608,4,Summary event of the report's signatures.,,,,,,,,,
2026-08-09T11:12:03.853+0000,1,attack,T1218.011,baseline,20260809-111015-attack-r1,60608,60608,4,Summary event of the report's signatures.,,,,,,,,,
2026-08-09T11:12:13.157+0000,1,attack,T1218.011,baseline,20260809-111015-attack-r1,61104,61104,3,Service startup type was changed,,,,,,,,,
2026-08-09T11:12:13.194+0000,1,attack,T1218.011,baseline,20260809-111015-attack-r1,61104,61104,3,Service startup type was changed,,,,,,,,,
2026-08-09T11:12:27.268+0000,1,attack,T1218.011,baseline,20260809-111015-attack-r1,61104,61104,3,Service startup type was changed,,,,,,,,,
2026-08-09T11:12:31.536+0000,1,attack,T1218.011,baseline,20260809-111015-attack-r1,60642,60642,3,Software protection service scheduled successfully.,,,,,,,,,
2026-08-09T11:14:12.336+0000,1,attack,T1218.011,baseline,20260809-111402-attack-r2,92052,cmd-spawned-by-nonshell-parent,4,Windows command prompt started by an abnormal process,T1059.003,C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""cmd.exe\"" /c rundll32.exe pcwutl.dll,LaunchApplication %%windir%%\\System32\\notepad.exe","\""cmd.exe\"" /c rundll32.exe pcwutl.dll,LaunchApplication %%windir%%\System32\notepad.exe",,,,
2026-08-09T11:14:12.349+0000,1,attack,T1218.011,baseline,20260809-111402-attack-r2,92032,92032,3,Suspicious Windows cmd shell execution,T1087;T1059.003,C:\\Windows\\System32\\rundll32.exe,C:\\Windows\\System32\\cmd.exe,"rundll32.exe  pcwutl.dll,LaunchApplication C:\\Windows\\System32\\notepad.exe","rundll32.exe  pcwutl.dll,LaunchApplication notepad.exe",,,,
2026-08-09T11:14:12.538+0000,1,attack,T1218.011,baseline,20260809-111402-attack-r2,92052,cmd-spawned-by-nonshell-parent,4,Windows command prompt started by an abnormal process,T1059.003,C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""cmd.exe\"" /c rundll32.exe url.dll,FileProtocolHandler calc.exe","\""cmd.exe\"" /c rundll32.exe url.dll,FileProtocolHandler calc.exe",,,,
2026-08-09T11:14:12.560+0000,1,attack,T1218.011,baseline,20260809-111402-attack-r2,92032,92032,3,Suspicious Windows cmd shell execution,T1087;T1059.003,C:\\Windows\\System32\\rundll32.exe,C:\\Windows\\System32\\cmd.exe,"rundll32.exe  url.dll,FileProtocolHandler calc.exe","rundll32.exe  url.dll,FileProtocolHandler calc.exe",,,,
2026-08-09T11:14:13.431+0000,1,attack,T1218.011,baseline,20260809-111402-attack-r2,92027,92027,4,Powershell process spawned powershell instance,T1059.001,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""powershell.exe\"" &amp; {rundll32.exe zipfldr.dll,RouteTheCall \\\""\""'%%windir%%\\System32\\calc.exe'\\\""\""}","\""powershell.exe\"" &amp; {rundll32.exe zipfldr.dll,RouteTheCall \\""\""'%%windir%%\System32\calc.exe'\\""\""}",,,,
2026-08-09T11:17:21.055+0000,1,attack,T1218.011,baseline,20260809-111706-attack-r3,92052,cmd-spawned-by-nonshell-parent,4,Windows command prompt started by an abnormal process,T1059.003,C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""cmd.exe\"" /c rundll32.exe pcwutl.dll,LaunchApplication %%windir%%\\System32\\notepad.exe","\""cmd.exe\"" /c rundll32.exe pcwutl.dll,LaunchApplication %%windir%%\System32\notepad.exe",,,,
2026-08-09T11:17:21.066+0000,1,attack,T1218.011,baseline,20260809-111706-attack-r3,92032,92032,3,Suspicious Windows cmd shell execution,T1087;T1059.003,C:\\Windows\\System32\\rundll32.exe,C:\\Windows\\System32\\cmd.exe,"rundll32.exe  pcwutl.dll,LaunchApplication C:\\Windows\\System32\\notepad.exe","rundll32.exe  pcwutl.dll,LaunchApplication notepad.exe",,,,
2026-08-09T11:17:21.237+0000,1,attack,T1218.011,baseline,20260809-111706-attack-r3,92052,cmd-spawned-by-nonshell-parent,4,Windows command prompt started by an abnormal process,T1059.003,C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""cmd.exe\"" /c rundll32.exe url.dll,FileProtocolHandler calc.exe","\""cmd.exe\"" /c rundll32.exe url.dll,FileProtocolHandler calc.exe",,,,
2026-08-09T11:17:21.273+0000,1,attack,T1218.011,baseline,20260809-111706-attack-r3,92032,92032,3,Suspicious Windows cmd shell execution,T1087;T1059.003,C:\\Windows\\System32\\rundll32.exe,C:\\Windows\\System32\\cmd.exe,"rundll32.exe  url.dll,FileProtocolHandler calc.exe","rundll32.exe  url.dll,FileProtocolHandler calc.exe",,,,
2026-08-09T11:17:21.422+0000,1,attack,T1218.011,baseline,20260809-111706-attack-r3,92027,92027,4,Powershell process spawned powershell instance,T1059.001,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""powershell.exe\"" &amp; {rundll32.exe zipfldr.dll,RouteTheCall \\\""\""'%%windir%%\\System32\\calc.exe'\\\""\""}","\""powershell.exe\"" &amp; {rundll32.exe zipfldr.dll,RouteTheCall \\""\""'%%windir%%\System32\calc.exe'\\""\""}",,,,
